id,play_id,description,time,player_id,team,x,y
2183,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Mike Evans,home,91.98,24.15
2617,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Alexander Marpet,home,89.94,22.74
3052,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Donovan Smith,home,90.71,22.5
3486,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Caleb Benenoch,home,89.71,24.33
3920,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Kenneth Barber,home,90.77,25.14
4359,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,William Cross,home,92.38,23.45
4794,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,O'Terrius Howard,home,92.03,24.37
5232,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Malcolm Jenkins,away,80.14,27.32
5666,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Brandon Graham,away,83.91,26.16
6100,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Etuini Ngata,away,83.34,24.43
6535,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Nigel Bradham,away,82.85,23.6
